Title,Director,Genre,Cast
Cruel Intentions 2,Roger Kumble,"Comedy, Drama",Robin Dunne Sarah Thompson Amy Adams
The Curse of the Jade Scorpion,Woody Allen,Comedy,Dan Aykroyd Helen Hunt Charlize Theron
The Deep End,"Scott McGehee, David Siegel",Drama,Tilda Swinton Goran Visnjic Jonathan Tucker
Delivering Milo,Nick Castle,Comedy,Anton Yelchin Albert Finney Bridget Fonda
Den,Greg Arce,Thriller,Gerard Butler Dawn Olivieri O'Shea Jackson Jr.
Dogtown and Z-Boys,Stacy Peralta,Documentary,Sean Penn Jay Adams Henry Rollins
Domestic Disturbance,Harold Becker,Thriller,John Travolta Matt O'Leary Vince Vaughn
Don't Say a Word,Gary Fleder,Thriller,Michael Douglas Sean Bean Brittany Murphy
Donnie Darko,Richard Kelly,Science fiction,Jake Gyllenhaal Jena Malone James Duval
Double Take,George Gallo,Comedy,Orlando Jones Eddie Griffin Garcelle Beauvais
Down to Earth,"Chris Weitz, Paul Weitz",Comedy,Chris Rock Regina King Chazz Palminteri
Dr. Dolittle 2,Steve Carr,Comedy,Eddie Murphy Kristen Wilson Kyla Pratt
Driven,Renny Harlin,Action,Jason Sudeikis Lee Pace Judy Greer
Dumb Luck,Craig Clyde,Comedy,Scott Baio Tracy Nelson Richard Moll
Earth vs. the Spider,Scott Ziehl,Horror,Dan Aykroyd Devon Gummersall Amelia Heinle
Elvira's Haunted Hills,Sam Irvin,Horror,Cassandra Peterson Richard O'Brien Mary Scheer
Enemy at the Gates,Jean-Jacques Annaud,War,Jude Law Joseph Fiennes Rachel Weisz
Escape from Hell,Danny Carrales,Horror,Daniel Kruse Emilie Jo Tisdale Terry Jernigan
Evolution,Ivan Reitman,Science fiction,Justin Chatwin Chow Yun-Fat Joon Park
Exit Wounds,Andrzej Bartkowiak,Action,Steven Seagal DMX Isaiah Washington
The Fast and the Furious,Rob Cohen,Action,Paul Walker Vin Diesel Michelle Rodriguez
Festival in Cannes,Henry Jaglom,Comedy,Anouk Aimée Greta Scacchi Maximilian Schell
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Fantasy,Ming-Na Wen Alec Baldwin Ving Rhames
Finder's Fee,Jeff Probst,Thriller,Erik Palladino Matthew Lillard Ryan Reynolds
The Fluffer,"Wash West, Richard Glatzer",Comedy,Scott Gurney Michael Cunio Roxanne Day
The Forsaken,J. S. Cardone,Horror,Brendan Fehr Izabella Miko Kerr Smith
Frailty,Bill Paxton,Horror,Bill Paxton Matthew McConaughey Powers Boothe
Freddy Got Fingered,Tom Green,Comedy,Tom Green Rip Torn Marisa Coughlan
From Hell,Albert and Allen Hughes,Crime drama,Johnny Depp Heather Graham Ian Holm
Full Frontal,Kyle Schickner,Comedy,David Duchovny Nicky Katt Catherine Keener
Get Over It,Tommy O'Haver,Musical,Kirsten Dunst Ben Foster Melissa Sagemiller
Ghost World,Terry Zwigoff,Drama,Thora Birch Steve Buscemi Scarlett Johansson
Ghosts of Mars,John Carpenter,Science fiction,Natasha Henstridge Ice Cube Jason Statham
The Glass House,Daniel Sackheim,Thriller,Leelee Sobieski Diane Lane Stellan Skarsgård
Glitter,Vondie Curtis-Hall,Musical,Mariah Carey Max Beesley Terrence Howard
God Didn't Give Me a Week's Notice,Richard Daily,Documentary,unknown
Good Neighbor,Todd Turner,Thriller,Logan Miller Keir Gilchrist James Caan
Gosford Park,Robert Altman,"Mystery, Comedy",Maggie Smith Michael Gambon Kristin Scott Thomas
Green Dragon,Timothy Linh Bui,Drama,Patrick Swayze Forest Whitaker Đơn Dương
The Grey Zone,Tim Blake Nelson,Drama,David Arquette Daniel Benzali Steve Buscemi
Hannibal,Ridley Scott,Thriller,Anthony Hopkins Julianne Moore Gary Oldman
Hardball,Brian Robbins,Drama,Keanu Reeves Diane Lane Michael B. Jordan
Harry Potter and the Sorcerer's Stone,Chris Columbus,Fantasy,Daniel Radcliffe Rupert Grint Emma Watson
Harvard Man,James Toback,Drama,Sarah Michelle Gellar Adrian Grenier Joey Lauren Adams
Head Over Heels,Mark Waters,Romantic comedy,Monica Potter Freddie Prinze Jr. Shalom Harlow
Heartbreakers,David Mirkin,Comedy,Sigourney Weaver Jennifer Love Hewitt Gene Hackman
Hearts in Atlantis,Scott Hicks,Drama,Anthony Hopkins Anton Yelchin Hope Davis
Hedwig and the Angry Inch,John Cameron Mitchell,Musical comedy,John Cameron Mitchell Miriam Shor Theodore Liscinski
Heist,David Mamet,Crime drama,Ben Stiller Eddie Murphy Casey Affleck
Herman U.S.A.,Bill Semans,Rom com,Michael O'Keefe Kevin Chamberlin Enid Graham
How High,Jesse Dylan,Comedy,Method Man Redman Obba Babatundé
How to Make a Monster,George Huang,Science fiction,Clea DuVall Steven Culp Tyler Mane
Human Nature,Michel Gondry,Comedy,Patricia Arquette Tim Robbins Rhys Ifans
I Am Sam,Jessie Nelson,Drama,Sean Penn Michelle Pfeiffer Dianne Wiest
In the Bedroom,Todd Field,Crime drama,Tom Wilkinson Sissy Spacek Nick Stahl
Jay and Silent Bob Strike Back,Kevin Smith,Comedy,Jason Mewes Shannon Elizabeth Eliza Dushku
Jeepers Creepers,Victor Salva,Horror,Gina Philips Justin Long Jonathan Breck
Jimmy Neutron: Boy Genius,John A. Davis,Animation,Debi Derryberry Megan Cavanagh Mark DeCarlo
The Jimmy Show,Frank Whaley,Comedy,Frank Whaley Carla Gugino Ethan Hawke
Joe Dirt,Dennie Gordon,Comedy,David Spade Brittany Daniel Dennis Miller
Joe Somebody,John Pasquin,Comedy,Tim Allen Julie Bowen Kelly Lynch
Josie and the Pussycats,"Harry Elfont, Deborah Kaplan",Musical comedy,Rachael Leigh Cook Rosario Dawson Tara Reid
Joy Ride,John Dahl,Horror,Paul Walker Steve Zahn Leelee Sobieski
Jurassic Park III,Joe Johnston,Science fiction,Sam Neill William H. Macy Téa Leoni
Just Visiting,Jean-Marie Poiré,Fantasy,Jean Reno Christian Clavier Christina Applegate
K-PAX,Iain Softley,Drama,Jeff Bridges Kevin Spacey Mary McCormack
Kate & Leopold,James Mangold,Comedy,Meg Ryan Hugh Jackman Liev Schreiber
Kill Me Later,Dana Lustig,Thriller,Selma Blair Max Beesley O'Neal Compton
Kingdom Come,Doug McHenry,Comedy,Ry Barrett Camille Hollett-French Jason Martorino
Kiss of the Dragon,Chris Nahon,Action,Jet Li Bridget Fonda Tchéky Karyo
Kissing Jessica Stein,Charles Herman-Wurmfeld,Romantic comedy,Jennifer Westfeldt Heather Juergensen Scott Cohen
A Knight's Tale,Brian Helgeland,Comedy,Heath Ledger Rufus Sewell Shannyn Sossamon
Knockaround Guys,"Brian Koppelman, David Levien",Comedy,Barry Pepper Andy Davoli Seth Green
L.I.E.,Michael Cuesta,Drama,Paul Dano Bruce Altman Brian Cox
Lara Croft: Tomb Raider,Simon West,Action,Angelina Jolie Jon Voight Iain Glen
The Last Castle,Rod Lurie,Drama,Robert Redford James Gandolfini Mark Ruffalo
Laughter on the 23rd Floor,Richard Benjamin,Comedy,Nathan Lane Mark Linn-Baker Saul Rubinek
Legally Blonde,Robert Luketic,Comedy,Reese Witherspoon Luke Wilson Selma Blair
Life as a House,Irwin Winkler,Drama,Kevin Kline Hayden Christensen Kristin Scott Thomas
Lloyd,Hector Baron,Comedy,Derek Richardson Eric Christian Olsen Mimi Rogers
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Fantasy,Elijah Wood Ian McKellen Liv Tyler
The Lost Skeleton of Cadavra,Larry Blamire,Science fiction,Fay Masterson Andrew Parks Susan McConnell
Lovely & Amazing,Nicole Holofcener,Comedy,Catherine Keener Brenda Blethyn Emily Mortimer
The Majestic,Frank Darabont,Drama,Jim Carrey Bob Balaban Jeffrey DeMunn
The Man from Elysian Fields,George Hickenlooper,Drama,Andy García Julianna Margulies Anjelica Huston
The Man Who Wasn't There,Joel Coen,Crime drama,Billy Bob Thornton Frances McDormand Michael Badalucco
Max Keeble's Big Move,Tim Hill,Comedy,Alex D. Linz Zena Grey Nora Dunn
Megiddo: The Omega Code 2,Brian Trenchard-Smith,Fantasy,Michael York Michael Biehn Diane Venora
The Mexican,Gore Verbinski,Comedy,Brad Pitt Julia Roberts James Gandolfini
Mockingbird Don't Sing,Harry Bromley Davenport,Drama,Melissa Errico Joe Regalbuto Sean Young
Monkeybone,Henry Selick,Fantasy,Brendan Fraser Bridget Fonda John Turturro
Monsoon Wedding,Mira Nair,Comedy,Naseeruddin Shah Lillete Dubey Vijay Raaz
Monster's Ball,Marc Forster,Drama,Billy Bob Thornton Halle Berry Heath Ledger
"Monsters, Inc.",Peter Docter,Animation,John Goodman Billy Crystal Mary Gibbs
A Month of Sundays,Stewart Raffill,Drama,Anthony LaPaglia Julia Blake John Clarke
Moulin Rouge!,Baz Luhrmann,Musical,Nicole Kidman Ewan McGregor John Leguizamo
Mulholland Drive,David Lynch,Crime drama,Naomi Watts Laura Harring Justin Theroux
The Mummy Returns,Stephen Sommers,Adventure,Brendan Fraser Rachel Weisz John Hannah
Murder on a Sunday Morning,Jean-Xavier de Lestrade,Documentary,Ann Finnell Patrick McGuinness James Williams
The Musketeer,Peter Hyams,Adventure,Catherine Deneuve Mena Suvari Stephen Rea
My Big Break,Tony Zierra,Documentary,Wes Bentley Chad Lindberg Brad Rowe
My Big Fat Greek Wedding,Joel Zwick,Comedy,Nia Vardalos John Corbett Lainie Kazan
My First Mister,Christine Lahti,Drama,Albert Brooks Leelee Sobieski John Goodman
Not Another Teen Movie,Joel Gallen,parody,Chyler Leigh Chris Evans Jaime Pressly
Novocaine,David Atkins,Comedy,Steve Martin Helena Bonham Carter Laura Dern
O,Tim Blake Nelson,Drama,Miren Ibarguren Paco León Sofía Oria
Ocean's Eleven,Steven Soderbergh,Crime,George Clooney Brad Pitt Matt Damon
On the Line,Eric Bross,Comedy,John Travolta Kate Bosworth Devon Sawa
The One,James Wong,Action,Jet Li Jason Statham Carla Gugino
One Night at McCool's,Harald Zwart,Comedy,Matt Dillon Liv Tyler Mary Jo Smith
Original Sin,Michael Cristofer,Thriller,Angelina Jolie Antonio Banderas Thomas Jane
Osmosis Jones,"Bobby Farrelly, Peter Farrelly, Tom Sito, Piet Kroon",Fantasy,Chris Rock Laurence Fishburne David Hyde Pierce
The Others,Alejandro Amenábar,Science fiction,Nicole Kidman Fionnula Flanagan Christopher Eccleston
Out Cold,Brendan and Emmett Malloy,Comedy,Jason London Lee Majors Zach Galifianakis
Out of the Black,Karl Kozak,Drama,Tyler Christopher Sally Kirkland Jason Widener
The Pact,Rodney Gibbons,Thriller,Caity Lotz Casper Van Dien Agnes Bruckner
Pearl Harbor,Michael Bay,War,Ben Affleck Kate Beckinsale Josh Hartnett
Perfume,Michael Rymer,Drama,Ben Whishaw Alan Rickman Rachel Hurd-Wood
Piñero,Leon Ichaso,Biography,Benjamin Bratt Giancarlo Esposito Talisa Soto
Planet of the Apes,Tim Burton,Science fiction,Andy Serkis Jason Clarke Gary Oldman
The Pledge,Sean Penn,Crime drama,Jack Nicholson Helen Mirren Aaron Eckhart
Pootie Tang,Louis C.K.,Comedy,Jennifer Coolidge J.B. Smoove Reg E. Cathey
The Princess Diaries,Garry Marshall,Comedy,Anne Hathaway Julie Andrews Patrick John Flueger
Rat Race,Jerry Zucker,Comedy,Rowan Atkinson Cuba Gooding Jr. Whoopi Goldberg
Recess: School's Out,Chuck Sheetz,Animation,Andrew Lawrence Rickey D'Shon Collins Pamela Adlon
Revolution OS,J. T. S. Moore,Documentary,Susan Egan Linus Torvalds Richard M. Stallman
Riding in Cars with Boys,Penny Marshall,Comedy,Drew Barrymore Steve Zahn Adam Garcia
Rock Star,Stephen Herek,Drama,Mark Wahlberg Jennifer Aniston Dominic West
The Royal Tenenbaums,Wes Anderson,Comedy,Gene Hackman Anjelica Huston Ben Stiller
Rush Hour 2,Brett Ratner,Comedy,Jackie Chan Chris Tucker John Lone
The Safety of Objects,Rose Troche,Drama,Glenn Close Dermot Mulroney Patricia Clarkson
Save the Last Dance,Thomas Carter,Romance,Julia Stiles Sean Patrick Thomas Kerry Washington
Saving Silverman,Dennis Dugan,Comedy,Steve Zahn Jack Black Jason Biggs
Say It Isn't So,James B. Rogers,Comedy,Chris Klein Heather Graham Orlando Jones
Scary Movie 2,Keenen Ivory Wayans,Parody,Anna Faris Regina Hall Shawn Wayans
The Score,Frank Oz,Crime drama,
"Scotland, Pennsylvania",Billy Morrissette,Comedy,James Le Gros Maura Tierney Christopher Walken
Scratch,Doug Pray,Documentary,
See Spot Run,John Whitesell,Comedy,David Arquette Leslie Bibb Michael Clarke Duncan
Serendipity,Peter Chelsom,Romance,John Cusack Kate Beckinsale Jeremy Piven
Session 9,Brad Anderson,Thriller,Peter Mullan David Caruso Stephen Gevedon
Shallow Hal,Peter and Bobby Farrelly,Comedy,Gwyneth Paltrow Jack Black Jason Alexander
She Creature,Sebastian Gutierrez,Fantasy,Rufus Sewell Carla Gugino Reno Wilson
The Shipping News,Lasse Hallström,Drama,Kevin Spacey Julianne Moore Cate Blanchett
Shrek,"Andrew Adamson, Vicky Jenson",Animation,Mike Myers Eddie Murphy Cameron Diaz
The Shrink Is In,Richard Benjamin,Comedy,Courteney Cox David Arquette David James Elliott
Sidewalks of New York,Edward Burns,Comedy,Edward Burns Heather Graham Rosario Dawson
Someone Like You,Tony Goldwyn,Comedy,Ashley Judd Greg Kinnear Hugh Jackman
Soul Survivors,Stephen Carpenter,Thriller,Melissa Sagemiller Wes Bentley Casey Affleck
Southern Comfort,Kate Davis,Documentary,Keith Carradine Powers Boothe Fred Ward
Southlander,"Steven Hanft, Ross Harris",Drama,Beck Laura Prepon Rory Cochrane
Spy Game,Tony Scott,Drama,Robert Redford Brad Pitt Catherine McCormack
Spy Kids,Robert Rodriguez,Family,Alexa PenaVega Daryl Sabara Antonio Banderas
Storytelling,Todd Solondz,Drama,Selma Blair Leo Fitzpatrick Robert Wisdom
Sugar & Spice,Francine McDougall,Comedy,Marley Shelton Marla Sokoloff Melissa George
Summer Catch,Michael Tollin,Comedy,Freddie Prinze Jr. Jessica Biel Fred Ward
Super Troopers,Jay Chandrasekhar,Comedy,Steve Lemme Kevin Heffernan Brian Cox
Sweet November,Pat O'Connor,Romance,Keanu Reeves Charlize Theron Jason Isaacs
Swordfish,Dominic Sena,Crime drama,John Travolta Hugh Jackman Don Cheadle
The Tailor of Panama,John Boorman,Drama,Pierce Brosnan Geoffrey Rush Jamie Lee Curtis
Tape,Richard Linklater,Drama,Cameron Diaz Jason Segel Rob Corddry
Thirteen Conversations About One Thing,Jill Sprecher,Drama,John Turturro Clea DuVall Matthew McConaughey
Thirteen Ghosts,Steve Beck,Horror,Julie Strain Jay Richardson Mia Zottoli
To End All Wars,David L. Cunningham,War,Ciarán McMenamin Robert Carlyle Kiefer Sutherland
Tomcats,Gregory Poirier,Comedy,Jerry O'Connell Shannon Elizabeth Jake Busey
Tortilla Soup,Maria Ripoll,Comedy,Jacqueline Obradors Tamara Mello Judy Herrera
Town & Country,Peter Chelsom,Comedy,Warren Beatty Diane Keaton Andie MacDowell
Training Day,Antoine Fuqua,Crime drama,Ethan Hawke Denzel Washington Scott Glenn
Two Can Play That Game,Mark Brown,Comedy,Vivica A. Fox Morris Chestnut Anthony Anderson
Uprising,Jon Avnet,War drama,John Boyega Scott Eastwood Cailee Spaeny
Valentine,Jamie Blanks,Horror,Estelle Linden Ahmad Affandy Matthew Settle
Vanilla Sky,Cameron Crowe,Thriller,Tom Cruise Penélope Cruz Cameron Diaz
Waking Life,Richard Linklater,Animation,Trevor Jack Brooks Lorelei Linklater Wiley Wiggins
The Wash,DJ Pooh,Comedy,Dr. Dre Snoop Dogg Angell Conwell
The Wedding Planner,Adam Shankman,Comedy,Jennifer Lopez Matthew McConaughey Justin Chambers
West 47th Street,"Bill Lichtenstein, June Peoples",Documentary,
Wet Hot American Summer,David Wain,Comedy,Janeane Garofalo David Hyde Pierce Michael Showalter
What's the Worst That Could Happen?,Sam Weisman,Comedy,Martin Lawrence Danny DeVito John Leguizamo
When Strangers Appear,Scott Reynolds,Drama,Radha Mitchell Josh Lucas Barry Watson
The Zeros,John Ryman,Science fiction,Mackenzie Astin John Ales Rachel Wilson
Zoolander,Ben Stiller,Comedy,Ben Stiller Owen Wilson Christine Taylor
13 Moons,Alexandre Rockwell,"Comedy, Drama",Jennifer Beals Elizabeth Bracco Steve Buscemi
25th Hour,Spike Lee,Drama,Edward Norton Philip Seymour Hoffman Barry Pepper
40 Days and 40 Nights,Michael Lehmann,Comedy,Josh Hartnett Shannyn Sossamon Paulo Costanzo
8 Mile,Curtis Hanson,"Drama, Musical",Eminem Mekhi Phifer Brittany Murphy
Abandon,Stephen Gaghan,"Drama, thriller",Katie Holmes Benjamin Bratt Charlie Hunnam
About a Boy,"Chris Weitz, Paul Weitz","Comedy, Drama",Hugh Grant Nicholas Hoult Toni Collette
About Schmidt,Alexander Payne,"Comedy, Drama",Jack Nicholson Kathy Bates Hope Davis
Adaptation.,Spike Jonze,"Comedy, Drama",Nicolas Cage Meryl Streep Chris Cooper
The Adventures of Pluto Nash,Ron Underwood,"Comedy, Science fiction",Eddie Murphy Randy Quaid Rosario Dawson
All About the Benjamins,Kevin Bray,"Action, Comedy",Ice Cube Mike Epps Tommy Flanagan
Analyze That,Harold Ramis,Comedy,Robert De Niro Billy Crystal Lisa Kudrow
Antwone Fisher,Denzel Washington,"Biography, Drama",Derek Luke Malcolm David Kelley Cory Hodges
Austin Powers in Goldmember,Jay Roach,Comedy,Mike Myers Beyoncé Seth Green
Auto Focus,Paul Schrader,"Biography, Drama",Greg Kinnear Willem Dafoe Rita Wilson
Avenging Angelo,Martyn Burke,"Comedy, Crime",Sylvester Stallone Madeleine Stowe Anthony Quinn
Back by Midnight,Harry Basil,Comedy,Rodney Dangerfield Randy Quaid Kirstie Alley
Bad Company,Joel Schumacher,"Action, Comedy",Anthony Hopkins Chris Rock Gabriel Macht
Ballistic: Ecks vs. Sever,Wych Kaosayananda,Action,Antonio Banderas Lucy Liu Gregg Henry
The Banger Sisters,Bob Dolman,Comedy,Goldie Hawn Susan Sarandon Geoffrey Rush
Barbershop,Tim Story,Comedy,Ice Cube Anthony Anderson Cedric the Entertainer
Below,David Twohy,"War, Horror",Mena Suvari Ema Horvath Trey Tucker
Better Luck Tomorrow,Justin Lin,Crime drama,Parry Shen Jason Tobin Sung Kang
Big Fat Liar,Shawn Levy,"Comedy, Family",Frankie Muniz Paul Giamatti Amanda Bynes
Big Trouble,Barry Sonnenfeld,"Comedy, Crime",Tim Allen Rene Russo Patrick Warburton
Biggie & Tupac,Nick Broomfield,Documentary,Tupac Shakur The Notorious B.I.G. Russell Poole
Birthday Girl,Jez Butterworth,Crime,Nicole Kidman Ben Chaplin Vincent Cassel
Blade II,Guillermo del Toro,"Action, horror",Wesley Snipes Kris Kristofferson Ron Perlman
Blood Work,Clint Eastwood,Crime drama,Clint Eastwood Jeff Daniels Anjelica Huston
Blue Crush,John Stockwell,Romance,Kate Bosworth Matthew Davis Michelle Rodriguez
Book of Love,Jeffrey W. Byrd,Romance,Bug Hall Eugene Levy Kevin M. Horton
The Bourne Identity,Doug Liman,"Action, Thriller",Matt Damon Franka Potente Chris Cooper
Bowling for Columbine,Michael Moore,Documentary,George H. W. Bush George W. Bush Charlton Heston
Brown Sugar,Rick Famuyiwa,Romance,Sanaa Lathan Taye Diggs Yasiin Bey
Bubba Ho-tep,Don Coscarelli,"Comedy, Horror",Bruce Campbell Ossie Davis Ella Joyce
The Burial Society,Nicholas Racz,Thriller,
Buying the Cow,Walt Becker,Comedy,Jerry O'Connell Bridgette Wilson Ryan Reynolds
Cabin Fever,Eli Roth,Horror,Rider Strong Cerina Vincent Giuseppe Andrews
Carrie,David Carson,Horror,Angela Bettis Patricia Clarkson Rena Sofer
Catch Me If You Can,Steven Spielberg,"Comedy, Drama",Leonardo DiCaprio Tom Hanks Christopher Walken
Chance,Amber Benson,Comedy,Bill Hader Anna Faris James Caan
Changing Lanes,Roger Michell,Thriller,Ben Affleck Samuel L. Jackson Toni Collette
Chat Room,Barry Bowles,Comedy,unknown
Chelsea Walls,Ethan Hawke,Drama,Bianca Hunter Kevin Corrigan Rosario Dawson
Chicago,Rob Marshall,Musical,Renée Zellweger Richard Gere Catherine Zeta-Jones
Ciao America,Frank Ciota,Comedy,Eddie Malavarca Maurizio Nichetti Violante Placido
City by the Sea,Michael Caton-Jones,Crime drama,Robert De Niro Frances McDormand James Franco
City of Ghosts,Matt Dillon,Drama,Matt Dillon James Caan Natascha McElhone
Civil Brand,Neema Barnette,Action,LisaRaye McCoy N'Bushe Wright Monica Calhoun
Clockstoppers,Jonathan Frakes,Science fiction,Jesse Bradford Paula Garcés French Stewart
The Cockettes,"Bill Weber, David Weissman",Documentary,Larry Brinkin Dusty Dawn Anton Dunnigan
Collateral Damage,Andrew Davis,Action,Arnold Schwarzenegger Francesca Neri Elias Koteas
The Crocodile Hunter: Collision Course,John Stainton,Adventure,Steve Irwin Terri Irwin Magda Szubanski
Comedian,Christian Charles,Documentary,Robert De Niro Leslie Mann Danny DeVito
Confessions of a Dangerous Mind,George Clooney,Biography,Sam Rockwell Drew Barrymore George Clooney
The Count of Monte Cristo,Kevin Reynolds,Adventure,Jim Caviezel Guy Pearce Richard Harris
The Country Bears,Peter Hastings,Family,Haley Joel Osment Diedrich Bader Candy Ford
Crazy as Hell,Eriq La Salle,Horror,Michael Beach Eriq La Salle Ronny Cox
Crossroads,Tamra Davis,"Comedy, Drama",Ralph Macchio Joe Seneca Jami Gertz
Cypher,Vincenzo Natali,Science-fiction,Jeremy Northam Lucy Liu Nigel Bennett
The Dancer Upstairs,John Malkovich,Crime drama,Javier Bardem Juan Diego Botto Laura Morante
The Dangerous Lives of Altar Boys,Peter Care,"Comedy, Drama",Kieran Culkin Emile Hirsch Jena Malone
Darkness,Jaume Balagueró,Horror,Chris Pine Zachary Quinto Zoe Saldana
Daughter from Da Nang,"Gail Dolgin, Vicente Franco",Documentary,
Death to Smoochy,Danny DeVito,Comedy,Robin Williams Catherine Keener Edward Norton
Demon Island,David and Scott Hillenbrand,Horror,Jaime Pressly Nicholas Brendon Eugene Byrd
Deuces Wild,Scott Kalvert,Action,Stephen Dorff Fairuza Balk Brad Renfro
Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri,Comedy,Sandra Bullock Ellen Burstyn Fionnula Flanagan
Dragonfly,Tom Shadyac,Drama,Kevin Costner Joe Morton Ron Rifkin
Drumline,Charles Stone III,"Drama, Musical",Nick Cannon Zoe Saldana Orlando Jones
Easy Listening,Pamela Corkey,Comedy,
Eight Crazy Nights,Seth Kearsley,Animation,Adam Sandler Jackie Sandler Kevin Nealon
Eight Legged Freaks,Ellory Elkayem,"Comedy, Horror",David Arquette Kari Wuhrer Doug E. Doug
The Emperor's Club,Michael Hoffman,Drama,Kevin Kline Emile Hirsch Embeth Davidtz
Empire,Franc. Reyes,Crime drama,Liam Hemsworth Dwayne Johnson Emma Roberts
